"Id","activity_date","total_steps","calories","very_active_min","fairly_active_min","lightly_active_min","sedentary_min","total_minutes_asleep","total_time_in_bed","minutes_awake_in_bed","hours_asleep","sleep_category"
1503960366,"4/12/2016",13162,1985,25,13,328,728,327,346,19,5.45,Insufficient Sleep (<6h)
1503960366,"4/13/2016",10735,1797,21,19,217,776,384,407,23,6.4,Moderate Sleep (6-7h)
1503960366,"4/15/2016",9762,1745,29,34,209,726,412,442,30,6.87,Moderate Sleep (6-7h)
1503960366,"4/16/2016",12669,1863,36,10,221,773,340,367,27,5.67,Insufficient Sleep (<6h)
1503960366,"4/17/2016",9705,1728,38,20,164,539,700,712,12,11.67,Adequate Sleep (7h+)
1503960366,"4/19/2016",15506,2035,50,31,264,775,304,320,16,5.07,Insufficient Sleep (<6h)
1503960366,"4/20/2016",10544,1786,28,12,205,818,360,377,17,6.0,Moderate Sleep (6-7h)
1503960366,"4/21/2016",9819,1775,19,8,211,838,325,364,39,5.42,Insufficient Sleep (<6h)
1503960366,"4/23/2016",14371,1949,41,21,262,732,361,384,23,6.02,Moderate Sleep (6-7h)
1503960366,"4/24/2016",10039,1788,39,5,238,709,430,449,19,7.17,Adequate Sleep (7h+)
1503960366,"4/25/2016",15355,2013,73,14,216,814,277,323,46,4.62,Insufficient Sleep (<6h)
1503960366,"4/26/2016",13755,1970,31,23,279,833,245,274,29,4.08,Insufficient Sleep (<6h)
1503960366,"4/28/2016",13154,1898,48,28,189,782,366,393,27,6.1,Moderate Sleep (6-7h)
1503960366,"4/29/2016",11181,1837,16,12,243,815,341,354,13,5.68,Insufficient Sleep (<6h)
1503960366,"4/30/2016",14673,1947,52,34,217,712,404,425,21,6.73,Moderate Sleep (6-7h)
1503960366,"5/1/2016",10602,1820,33,35,246,730,369,396,27,6.15,Moderate Sleep (6-7h)
1503960366,"5/10/2016",12207,1859,46,31,214,746,383,403,20,6.38,Moderate Sleep (6-7h)
1503960366,"5/11/2016",12770,1783,36,23,251,669,285,306,21,4.75,Insufficient Sleep (<6h)
1503960366,"5/2/2016",14727,2004,41,15,277,798,277,309,32,4.62,Insufficient Sleep (<6h)
1503960366,"5/3/2016",15103,1990,50,24,254,816,273,296,23,4.55,Insufficient Sleep (<6h)
1503960366,"5/5/2016",14070,1959,45,24,250,857,247,264,17,4.12,Insufficient Sleep (<6h)
1503960366,"5/6/2016",12159,1896,24,6,289,754,334,367,33,5.57,Insufficient Sleep (<6h)
1503960366,"5/7/2016",11992,1821,37,46,175,833,331,349,18,5.52,Insufficient Sleep (<6h)
1503960366,"5/8/2016",10060,1740,44,8,203,574,594,611,17,9.9,Adequate Sleep (7h+)
1503960366,"5/9/2016",12022,1819,46,11,206,835,338,342,4,5.63,Insufficient Sleep (<6h)
1644430081,"4/29/2016",3176,2498,0,0,120,1193,119,127,8,1.98,Insufficient Sleep (<6h)
1644430081,"4/30/2016",18213,3846,9,71,402,816,124,142,18,2.07,Insufficient Sleep (<6h)
1644430081,"5/2/2016",3758,2580,1,7,148,682,796,961,165,13.27,Adequate Sleep (7h+)
1644430081,"5/8/2016",6724,2987,0,0,295,991,137,154,17,2.28,Insufficient Sleep (<6h)
1844505072,"4/15/2016",3844,1725,0,0,176,527,644,961,317,10.73,Adequate Sleep (7h+)
1844505072,"5/1/2016",2573,1541,0,7,75,585,590,961,371,9.83,Adequate Sleep (7h+)
1927972279,"4/12/2016",678,2220,0,0,55,734,750,775,25,12.5,Adequate Sleep (7h+)
1927972279,"4/13/2016",356,2151,0,0,32,986,398,422,24,6.63,Moderate Sleep (6-7h)
1927972279,"4/15/2016",980,2221,0,0,51,941,475,499,24,7.92,Adequate Sleep (7h+)
1927972279,"4/26/2016",3761,2638,0,0,192,1058,296,315,19,4.93,Insufficient Sleep (<6h)
1927972279,"4/28/2016",1675,2351,0,0,95,1167,166,178,12,2.77,Insufficient Sleep (<6h)
2026352035,"4/12/2016",4414,1459,3,8,181,706,503,546,43,8.38,Adequate Sleep (7h+)
2026352035,"4/13/2016",4993,1521,0,0,238,663,531,565,34,8.85,Adequate Sleep (7h+)
2026352035,"4/14/2016",3335,1431,0,0,197,653,545,568,23,9.08,Adequate Sleep (7h+)
2026352035,"4/15/2016",3821,1444,0,0,188,687,523,573,50,8.72,Adequate Sleep (7h+)
2026352035,"4/16/2016",2547,1373,0,0,150,728,524,567,43,8.73,Adequate Sleep (7h+)
2026352035,"4/17/2016",838,1214,0,0,60,1053,437,498,61,7.28,Adequate Sleep (7h+)
2026352035,"4/19/2016",2424,1356,0,0,141,785,498,540,42,8.3,Adequate Sleep (7h+)
2026352035,"4/20/2016",7222,1667,0,0,327,623,461,510,49,7.68,Adequate Sleep (7h+)
2026352035,"4/21/2016",2467,1370,0,0,153,749,477,514,37,7.95,Adequate Sleep (7h+)
2026352035,"4/22/2016",2915,1399,0,0,162,712,520,545,25,8.67,Adequate Sleep (7h+)
2026352035,"4/23/2016",12357,1916,0,0,432,458,522,554,32,8.7,Adequate Sleep (7h+)
2026352035,"4/24/2016",3490,1401,0,0,164,704,555,591,36,9.25,Adequate Sleep (7h+)
2026352035,"4/25/2016",6017,1576,0,0,260,821,506,531,25,8.43,Adequate Sleep (7h+)
2026352035,"4/27/2016",6088,1593,0,0,286,586,508,545,37,8.47,Adequate Sleep (7h+)
2026352035,"4/28/2016",6375,1649,0,0,331,626,513,545,32,8.55,Adequate Sleep (7h+)
2026352035,"4/29/2016",7604,1692,0,0,352,492,490,510,20,8.17,Adequate Sleep (7h+)
2026352035,"4/30/2016",4729,1506,0,0,233,594,573,607,34,9.55,Adequate Sleep (7h+)
2026352035,"5/1/2016",3609,1447,0,0,191,716,527,546,19,8.78,Adequate Sleep (7h+)
2026352035,"5/10/2016",254,1141,0,0,17,1002,357,380,23,5.95,Insufficient Sleep (<6h)
2026352035,"5/11/2016",8580,1698,0,0,330,569,523,553,30,8.72,Adequate Sleep (7h+)
2026352035,"5/12/2016",8891,1364,0,0,343,330,456,485,29,7.6,Adequate Sleep (7h+)
2026352035,"5/2/2016",7018,1690,0,0,355,716,511,543,32,8.52,Adequate Sleep (7h+)
2026352035,"5/4/2016",6564,1658,0,0,345,530,538,560,22,8.97,Adequate Sleep (7h+)
2026352035,"5/5/2016",12167,1926,0,0,475,479,468,485,17,7.8,Adequate Sleep (7h+)
2026352035,"5/6/2016",8198,1736,0,0,383,511,524,548,24,8.73,Adequate Sleep (7h+)
2026352035,"5/7/2016",4193,1491,0,0,229,665,511,521,10,8.52,Adequate Sleep (7h+)
2026352035,"5/8/2016",5528,1555,0,0,258,610,541,568,27,9.02,Adequate Sleep (7h+)
2026352035,"5/9/2016",10685,1869,0,0,401,543,531,556,25,8.85,Adequate Sleep (7h+)
2320127002,"4/23/2016",5079,1804,0,0,242,1129,61,69,8,1.02,Insufficient Sleep (<6h)
2347167796,"4/13/2016",10352,2038,19,32,195,676,467,531,64,7.78,Adequate Sleep (7h+)
2347167796,"4/14/2016",10129,2010,1,48,206,705,445,489,44,7.42,Adequate Sleep (7h+)
2347167796,"4/15/2016",10465,2133,1,24,284,720,452,504,52,7.53,Adequate Sleep (7h+)
2347167796,"4/17/2016",5472,1882,1,7,249,508,556,602,46,9.27,Adequate Sleep (7h+)
2347167796,"4/18/2016",8247,1944,11,16,206,678,500,557,57,8.33,Adequate Sleep (7h+)
2347167796,"4/19/2016",6711,2346,0,7,382,648,465,514,49,7.75,Adequate Sleep (7h+)
2347167796,"4/21/2016",10080,2048,23,26,208,761,460,484,24,7.67,Adequate Sleep (7h+)
2347167796,"4/22/2016",7804,1946,9,27,206,781,405,461,56,6.75,Moderate Sleep (6-7h)
2347167796,"4/23/2016",16901,2629,32,35,360,591,374,386,12,6.23,Moderate Sleep (6-7h)
2347167796,"4/24/2016",9471,2187,0,0,360,584,442,459,17,7.37,Adequate Sleep (7h+)
2347167796,"4/25/2016",9482,2095,15,11,277,653,433,471,38,7.22,Adequate Sleep (7h+)
2347167796,"4/26/2016",5980,1861,0,0,227,732,436,490,54,7.27,Adequate Sleep (7h+)
2347167796,"4/27/2016",11423,2194,26,9,295,623,448,499,51,7.47,Adequate Sleep (7h+)
2347167796,"4/28/2016",5439,1854,0,0,229,764,408,450,42,6.8,Moderate Sleep (6-7h)
3977333714,"4/12/2016",8856,1450,44,19,131,777,274,469,195,4.57,Insufficient Sleep (<6h)
3977333714,"4/13/2016",10035,1495,31,46,153,754,295,456,161,4.92,Insufficient Sleep (<6h)
3977333714,"4/14/2016",7641,1433,5,23,214,801,291,397,106,4.85,Insufficient Sleep (<6h)
3977333714,"4/15/2016",9010,1468,15,42,183,644,424,556,132,7.07,Adequate Sleep (7h+)
3977333714,"4/16/2016",13459,1625,31,83,153,663,283,510,227,4.72,Insufficient Sleep (<6h)
3977333714,"4/17/2016",10415,1529,11,58,205,600,381,566,185,6.35,Moderate Sleep (6-7h)
3977333714,"4/18/2016",11663,1584,4,95,214,605,412,522,110,6.87,Moderate Sleep (6-7h)
3977333714,"4/19/2016",12414,1638,19,67,221,738,219,395,176,3.65,Insufficient Sleep (<6h)
3977333714,"4/20/2016",11658,1554,2,98,164,845,152,305,153,2.53,Insufficient Sleep (<6h)
3977333714,"4/21/2016",6093,1397,0,0,242,712,332,512,180,5.53,Insufficient Sleep (<6h)
3977333714,"4/22/2016",8911,1481,33,12,188,731,355,476,121,5.92,Insufficient Sleep (<6h)
3977333714,"4/23/2016",12058,1638,0,92,252,724,235,372,137,3.92,Insufficient Sleep (<6h)
3977333714,"4/24/2016",14112,1655,30,95,129,660,310,526,216,5.17,Insufficient Sleep (<6h)
3977333714,"4/25/2016",11177,1570,50,9,133,781,262,467,205,4.37,Insufficient Sleep (<6h)
3977333714,"4/26/2016",11388,1551,7,95,170,797,250,371,121,4.17,Insufficient Sleep (<6h)
3977333714,"4/27/2016",7193,1377,0,10,176,714,349,540,191,5.82,Insufficient Sleep (<6h)
3977333714,"4/28/2016",7114,1407,15,8,190,804,261,423,162,4.35,Insufficient Sleep (<6h)
3977333714,"4/29/2016",10645,1545,36,32,150,744,333,478,145,5.55,Insufficient Sleep (<6h)
3977333714,"4/30/2016",13238,1650,43,52,194,687,237,382,145,3.95,Insufficient Sleep (<6h)
3977333714,"5/1/2016",10414,1501,41,40,124,691,383,626,243,6.38,Moderate Sleep (6-7h)
3977333714,"5/10/2016",13072,1630,1,115,196,676,312,452,140,5.2,Insufficient Sleep (<6h)
3977333714,"5/2/2016",16520,1760,24,143,176,713,230,384,154,3.83,Insufficient Sleep (<6h)
3977333714,"5/3/2016",14335,1710,47,41,258,594,292,500,208,4.87,Insufficient Sleep (<6h)
3977333714,"5/4/2016",13559,1628,14,96,142,852,213,336,123,3.55,Insufficient Sleep (<6h)
3977333714,"5/5/2016",12312,1618,14,88,178,680,318,480,162,5.3,Insufficient Sleep (<6h)
3977333714,"5/6/2016",11677,1590,29,55,168,676,323,512,189,5.38,Insufficient Sleep (<6h)
3977333714,"5/7/2016",11550,1574,0,86,208,703,237,443,206,3.95,Insufficient Sleep (<6h)
3977333714,"5/8/2016",13585,1633,9,116,171,688,259,456,197,4.32,Insufficient Sleep (<6h)
4020332650,"4/12/2016",8539,3654,4,15,331,712,501,541,40,8.35,Adequate Sleep (7h+)
4020332650,"4/16/2016",1982,3051,65,21,55,1222,77,77,0,1.28,Insufficient Sleep (<6h)
4020332650,"5/10/2016",5546,2926,0,0,206,774,442,494,52,7.37,Adequate Sleep (7h+)
4020332650,"5/3/2016",4496,2828,0,0,174,950,322,332,10,5.37,Insufficient Sleep (<6h)
4020332650,"5/4/2016",10252,3879,13,46,346,531,478,536,58,7.97,Adequate Sleep (7h+)
4020332650,"5/5/2016",11728,3429,38,42,196,916,226,248,22,3.77,Insufficient Sleep (<6h)
4020332650,"5/6/2016",4369,2704,0,0,177,855,385,408,23,6.42,Moderate Sleep (6-7h)
4020332650,"5/8/2016",5862,3089,0,0,263,775,364,402,38,6.07,Moderate Sleep (6-7h)
4319703577,"4/14/2016",10210,2302,1,9,339,589,535,557,22,8.92,Adequate Sleep (7h+)
4319703577,"4/15/2016",5664,1985,0,0,228,752,465,491,26,7.75,Adequate Sleep (7h+)
4319703577,"4/16/2016",4744,1884,0,0,194,724,506,522,16,8.43,Adequate Sleep (7h+)
4319703577,"4/18/2016",2276,1632,1,9,58,824,515,551,36,8.58,Adequate Sleep (7h+)
4319703577,"4/19/2016",8925,2200,0,0,311,604,461,498,37,7.68,Adequate Sleep (7h+)
4319703577,"4/20/2016",8954,2220,0,18,306,671,523,543,20,8.72,Adequate Sleep (7h+)
4319703577,"4/21/2016",3702,1792,0,0,34,1265,59,65,6,0.98,Insufficient Sleep (<6h)
4319703577,"4/22/2016",4500,1886,1,19,176,709,533,550,17,8.88,Adequate Sleep (7h+)
4319703577,"4/23/2016",4935,1945,0,0,233,546,692,722,30,11.53,Adequate Sleep (7h+)
4319703577,"4/24/2016",4081,1880,1,5,191,692,467,501,34,7.78,Adequate Sleep (7h+)
4319703577,"4/25/2016",9259,2314,0,8,390,544,488,506,18,8.13,Adequate Sleep (7h+)
4319703577,"4/26/2016",9899,2236,8,21,288,649,505,516,11,8.42,Adequate Sleep (7h+)
4319703577,"4/27/2016",10780,2324,6,47,300,680,286,307,21,4.77,Insufficient Sleep (<6h)
4319703577,"4/28/2016",10817,2367,13,8,359,552,497,522,25,8.28,Adequate Sleep (7h+)
4319703577,"4/29/2016",7990,2175,6,18,289,624,523,546,23,8.72,Adequate Sleep (7h+)
4319703577,"4/30/2016",8221,2092,6,38,196,695,490,516,26,8.17,Adequate Sleep (7h+)
4319703577,"5/1/2016",1251,1593,0,0,67,836,484,500,16,8.07,Adequate Sleep (7h+)
4319703577,"5/10/2016",9487,2260,3,12,329,555,487,517,30,8.12,Adequate Sleep (7h+)
4319703577,"5/11/2016",9129,2232,3,18,311,574,529,558,29,8.82,Adequate Sleep (7h+)
4319703577,"5/2/2016",9261,2270,0,11,344,585,478,506,28,7.97,Adequate Sleep (7h+)
4319703577,"5/3/2016",9648,2235,8,26,287,669,474,512,38,7.9,Adequate Sleep (7h+)
4319703577,"5/6/2016",9524,2266,6,11,314,692,450,491,41,7.5,Adequate Sleep (7h+)
4319703577,"5/7/2016",7937,2158,3,28,279,586,507,530,23,8.45,Adequate Sleep (7h+)
4319703577,"5/8/2016",3672,1792,0,0,153,603,602,638,36,10.03,Adequate Sleep (7h+)
4319703577,"5/9/2016",10378,2345,2,14,374,490,535,565,30,8.92,Adequate Sleep (7h+)
4388161847,"4/15/2016",8758,3066,0,0,299,837,499,526,27,8.32,Adequate Sleep (7h+)
4388161847,"4/16/2016",6580,3073,6,9,253,609,426,448,22,7.1,Adequate Sleep (7h+)
4388161847,"4/17/2016",4660,2572,0,0,201,721,619,641,22,10.32,Adequate Sleep (7h+)
4388161847,"4/18/2016",11009,3274,27,8,239,1017,99,104,5,1.65,Insufficient Sleep (<6h)
4388161847,"4/19/2016",10181,3015,20,16,249,704,329,338,9,5.48,Insufficient Sleep (<6h)
4388161847,"4/20/2016",10553,3083,19,42,228,696,421,451,30,7.02,Adequate Sleep (7h+)
4388161847,"4/21/2016",10055,3069,7,12,272,853,442,458,16,7.37,Adequate Sleep (7h+)
4388161847,"4/22/2016",12139,3544,77,25,220,945,82,85,3,1.37,Insufficient Sleep (<6h)
4388161847,"4/23/2016",13236,3306,58,5,215,749,478,501,23,7.97,Adequate Sleep (7h+)
4388161847,"4/24/2016",10243,2885,14,8,239,584,552,595,43,9.2,Adequate Sleep (7h+)
4388161847,"4/26/2016",9461,2929,14,23,224,673,319,346,27,5.32,Insufficient Sleep (<6h)
4388161847,"4/27/2016",11193,3074,11,48,241,684,439,500,61,7.32,Adequate Sleep (7h+)
4388161847,"4/28/2016",10074,2969,19,9,234,878,428,458,30,7.13,Adequate Sleep (7h+)
4388161847,"4/30/2016",12533,3283,14,43,300,537,409,430,21,6.82,Moderate Sleep (6-7h)
4388161847,"5/1/2016",10255,2926,12,15,241,579,547,597,50,9.12,Adequate Sleep (7h+)
4388161847,"5/10/2016",10299,3061,13,14,267,648,354,375,21,5.9,Insufficient Sleep (<6h)
4388161847,"5/11/2016",10201,2954,8,18,256,858,469,494,25,7.82,Adequate Sleep (7h+)
4388161847,"5/2/2016",10096,3147,33,4,204,935,368,376,8,6.13,Moderate Sleep (6-7h)
4388161847,"5/4/2016",12375,3162,35,21,251,632,390,414,24,6.5,Moderate Sleep (6-7h)
4388161847,"5/5/2016",9603,2899,12,39,199,896,471,495,24,7.85,Adequate Sleep (7h+)
4388161847,"5/7/2016",22770,4022,120,56,260,508,472,496,24,7.87,Adequate Sleep (7h+)
4388161847,"5/8/2016",17298,3934,107,38,178,576,529,541,12,8.82,Adequate Sleep (7h+)
4388161847,"5/9/2016",10218,3013,6,19,258,1020,62,65,3,1.03,Insufficient Sleep (<6h)
4445114986,"4/12/2016",3276,2113,0,0,196,787,429,457,28,7.15,Adequate Sleep (7h+)
4445114986,"4/13/2016",2961,2095,0,0,194,840,370,406,36,6.17,Moderate Sleep (6-7h)
4445114986,"4/14/2016",3974,2194,0,0,231,717,441,492,51,7.35,Adequate Sleep (7h+)
4445114986,"4/15/2016",7198,2496,0,0,350,711,337,379,42,5.62,Insufficient Sleep (<6h)
4445114986,"4/16/2016",3945,2180,0,0,225,716,462,499,37,7.7,Adequate Sleep (7h+)
4445114986,"4/17/2016",2268,1933,0,0,114,1219,98,107,9,1.63,Insufficient Sleep (<6h)
4445114986,"4/19/2016",2064,1954,0,0,121,895,388,424,36,6.47,Moderate Sleep (6-7h)
4445114986,"4/20/2016",2072,1974,0,0,137,841,439,462,23,7.32,Adequate Sleep (7h+)
4445114986,"4/21/2016",3809,2150,0,0,215,756,436,469,33,7.27,Adequate Sleep (7h+)
4445114986,"4/22/2016",6831,2432,0,0,317,706,388,417,29,6.47,Moderate Sleep (6-7h)
4445114986,"4/25/2016",3385,2070,0,0,179,916,328,345,17,5.47,Insufficient Sleep (<6h)
4445114986,"4/26/2016",6326,2291,29,1,180,839,353,391,38,5.88,Insufficient Sleep (<6h)
4445114986,"4/27/2016",7243,2361,32,1,194,839,332,374,42,5.53,Insufficient Sleep (<6h)
4445114986,"4/28/2016",4493,2203,0,0,236,762,419,442,23,6.98,Moderate Sleep (6-7h)
4445114986,"4/29/2016",4676,2196,0,0,226,1106,106,108,2,1.77,Insufficient Sleep (<6h)
4445114986,"4/30/2016",6222,2363,0,0,290,797,322,353,31,5.37,Insufficient Sleep (<6h)
4445114986,"5/1/2016",5232,2246,0,0,240,741,439,459,20,7.32,Adequate Sleep (7h+)
4445114986,"5/10/2016",3915,2181,0,0,231,783,405,426,21,6.75,Moderate Sleep (6-7h)
4445114986,"5/11/2016",9105,2499,34,22,232,622,499,530,31,8.32,Adequate Sleep (7h+)
4445114986,"5/2/2016",6910,2336,27,4,200,667,502,542,40,8.37,Adequate Sleep (7h+)
4445114986,"5/3/2016",7502,2421,30,2,233,725,417,450,33,6.95,Moderate Sleep (6-7h)
4445114986,"5/4/2016",2923,2070,0,0,180,897,337,363,26,5.62,Insufficient Sleep (<6h)
4445114986,"5/5/2016",3800,2120,2,6,185,734,462,513,51,7.7,Adequate Sleep (7h+)
4445114986,"5/6/2016",4514,2211,0,0,229,809,374,402,28,6.23,Moderate Sleep (6-7h)
4445114986,"5/7/2016",5183,2123,26,4,108,866,401,436,35,6.68,Moderate Sleep (6-7h)
4445114986,"5/8/2016",7303,2423,0,8,308,733,361,391,30,6.02,Moderate Sleep (6-7h)
4445114986,"5/9/2016",5275,2281,0,0,266,641,457,533,76,7.62,Adequate Sleep (7h+)
4558609924,"4/21/2016",13743,2486,6,21,432,844,126,137,11,2.1,Insufficient Sleep (<6h)
4558609924,"4/26/2016",9148,2223,12,41,283,1062,103,121,18,1.72,Insufficient Sleep (<6h)
4558609924,"4/29/2016",7833,1918,15,29,197,1096,171,179,8,2.85,Insufficient Sleep (<6h)
4558609924,"5/1/2016",3428,1692,0,0,190,1121,115,129,14,1.92,Insufficient Sleep (<6h)
4558609924,"5/8/2016",6543,2666,66,35,238,1019,123,134,11,2.05,Insufficient Sleep (<6h)
4702921684,"4/12/2016",7213,2947,0,0,263,718,425,439,14,7.08,Adequate Sleep (7h+)
4702921684,"4/13/2016",6877,2898,0,0,258,777,400,430,30,6.67,Moderate Sleep (6-7h)
4702921684,"4/14/2016",7860,2984,0,0,271,772,384,415,31,6.4,Moderate Sleep (6-7h)
